sku_id,forecast_date,predicted_demand,lower_bound,upper_bound
SKU-02290,2025-04-05,979,914,1013
SKU-00172,2023-07-04,67,14,78
SKU-01742,2023-07-24,659,569,694
SKU-02706,2024-07-27,408,393,420
SKU-02566,2025-03-03,111,79,159
SKU-02595,2023-06-29,506,460,556
SKU-01189,2025-05-07,798,739,877
SKU-01034,2024-03-23,168,85,193
SKU-01559,2023-02-18,586,568,678
SKU-02201,2023-05-24,587,531,598
SKU-02053,2023-08-20,201,168,296
SKU-02930,2025-04-17,688,620,763
SKU-00859,2023-01-20,314,228,360
SKU-02213,2025-04-02,951,905,993
SKU-01653,2024-11-27,147,119,206
SKU-01600,2024-09-14,122,119,200
SKU-00697,2023-04-27,803,782,836
SKU-02542,2023-07-02,368,290,446
SKU-00280,2024-09-24,920,827,950
SKU-01593,2025-01-20,378,351,476
SKU-01030,2024-09-23,347,306,369
SKU-02557,2024-11-09,736,649,763
SKU-02218,2024-10-23,124,78,165
SKU-01974,2024-03-13,798,749,860
SKU-01799,2025-03-31,136,43,195
SKU-00689,2025-10-24,891,815,944
SKU-00738,2025-09-10,756,744,782
SKU-00605,2025-11-16,272,261,319
SKU-02058,2025-08-04,523,500,590
SKU-00971,2023-05-09,738,644,780
SKU-01569,2023-08-30,414,388,415
SKU-01030,2024-08-21,786,736,863
SKU-02582,2024-09-12,448,407,521
SKU-01345,2023-10-01,558,533,577
SKU-00750,2025-09-25,715,671,768
SKU-00022,2023-04-09,155,103,241
SKU-00839,2024-04-29,171,87,173
SKU-00694,2024-05-23,235,181,254
SKU-00821,2025-03-02,634,621,656
SKU-00454,2023-06-15,268,233,326
SKU-02264,2024-01-25,898,849,964
SKU-02595,2025-08-18,334,261,335
SKU-01023,2024-06-04,69,6,101
SKU-00605,2023-10-31,602,504,650
SKU-02858,2023-10-15,824,811,844
SKU-00685,2024-05-18,122,42,183
SKU-01566,2025-05-16,258,257,282
SKU-02954,2024-05-29,839,750,896
SKU-01536,2023-12-15,881,801,896
SKU-01259,2024-01-10,200,168,228
SKU-00264,2023-12-13,868,821,890
SKU-02763,2025-05-14,56,0,152
SKU-01195,2025-07-25,918,918,1004
SKU-02981,2023-08-13,632,596,711
SKU-01448,2023-06-04,433,386,509
SKU-02595,2025-04-05,849,848,913
SKU-02887,2023-07-08,722,709,736
SKU-01575,2024-11-09,399,305,459
SKU-02336,2024-07-29,295,268,328
SKU-00358,2024-04-27,123,83,155
SKU-02609,2025-10-13,123,106,212
SKU-01806,2024-10-20,374,295,394
SKU-01262,2023-03-22,70,13,85
SKU-00625,2023-07-31,842,832,859
SKU-00674,2025-07-06,639,568,649
SKU-00035,2024-01-16,487,453,499
SKU-01406,2023-06-28,708,626,719
SKU-01409,2024-03-28,383,336,478
SKU-01721,2024-04-16,494,463,524
SKU-00294,2025-11-19,652,581,666
SKU-00294,2023-09-13,415,357,462
SKU-01007,2024-02-12,361,318,457
SKU-01930,2025-07-21,594,544,644
SKU-02595,2024-06-15,320,222,334
SKU-02559,2024-11-23,120,109,125
SKU-02644,2024-11-11,455,438,471
SKU-00488,2024-02-03,16,0,43
SKU-00944,2023-03-27,68,0,150
SKU-01793,2024-05-16,825,788,884
SKU-02762,2025-08-18,395,326,482
SKU-02473,2024-07-10,232,220,306
SKU-02434,2023-07-22,551,545,632
SKU-01009,2023-01-07,410,311,503
SKU-00261,2023-11-23,836,766,837
SKU-01875,2024-07-17,337,262,352
SKU-00642,2023-07-01,818,784,889
SKU-01693,2023-07-26,557,556,573
SKU-00580,2024-04-16,389,323,464
SKU-00934,2024-11-23,360,276,438
SKU-02115,2023-09-02,570,477,577
SKU-00630,2025-10-30,124,34,140
SKU-00555,2023-01-25,326,300,412
SKU-02385,2025-07-30,614,604,692
SKU-00427,2025-10-01,685,604,768
SKU-02829,2024-01-21,849,843,922
SKU-01106,2025-03-11,353,352,423
SKU-02016,2024-01-06,278,221,281
SKU-02737,2023-06-01,410,321,422
SKU-02743,2024-12-23,258,187,345
SKU-01499,2023-03-13,904,817,935
SKU-01540,2023-10-25,626,570,691
SKU-02152,2024-08-16,739,739,759
SKU-01767,2023-03-27,97,46,195
SKU-00831,2023-02-05,985,939,992
SKU-01280,2025-09-02,107,12,130
SKU-00572,2025-10-06,929,831,966
SKU-00465,2023-07-22,935,854,1007
SKU-02625,2023-11-08,270,237,349
SKU-01912,2023-12-03,829,823,844
SKU-02860,2023-09-03,672,650,739
SKU-00610,2023-12-08,451,371,494
SKU-02953,2025-08-04,925,870,1006
SKU-00904,2025-11-18,527,458,619
SKU-00969,2023-03-06,502,440,548
SKU-02045,2023-07-24,837,764,894
SKU-02805,2024-09-01,508,485,564
SKU-00801,2023-09-09,538,496,626
SKU-01183,2025-08-26,139,95,210
SKU-01807,2025-03-19,733,706,827
SKU-01310,2023-05-27,223,129,286
SKU-01085,2023-10-24,680,581,771
SKU-01329,2025-11-30,126,96,129
SKU-01444,2023-02-23,110,57,171
SKU-02982,2025-01-04,535,503,596
SKU-02765,2024-01-10,923,860,964
SKU-00895,2023-07-24,225,194,292
SKU-02191,2023-04-09,873,799,936
SKU-01897,2025-10-27,41,0,140
SKU-02842,2024-03-13,889,886,901
SKU-00208,2024-03-09,597,528,637
SKU-02830,2025-10-12,80,49,108
SKU-01998,2024-10-03,397,308,454
SKU-02128,2025-01-29,754,723,796
SKU-00380,2023-03-29,238,200,334
SKU-01384,2024-03-08,78,50,143
SKU-01876,2025-02-01,575,507,641
SKU-01424,2024-08-25,974,908,1056
SKU-00806,2024-06-17,327,296,403
SKU-00943,2023-07-25,825,812,872
SKU-02908,2023-11-30,77,54,90
SKU-02779,2024-06-12,576,544,609
SKU-02808,2025-08-23,960,863,1020
SKU-00167,2023-09-25,784,690,852
SKU-00480,2024-01-12,164,140,242
SKU-00436,2025-06-16,844,772,921
SKU-01514,2024-02-02,182,159,238
SKU-02884,2025-03-28,717,680,761
SKU-01361,2025-08-26,755,686,758
SKU-02318,2023-08-06,655,602,689
SKU-01658,2023-04-06,814,778,861
SKU-02014,2023-11-02,213,153,273
SKU-01194,2023-03-05,820,767,891
SKU-01100,2025-09-20,724,685,732
SKU-00605,2024-08-18,485,472,535
SKU-02213,2024-08-10,827,789,863
SKU-00808,2025-01-08,433,414,458
SKU-02940,2024-02-28,738,645,794
SKU-00697,2025-07-06,466,460,472
SKU-00031,2024-08-12,781,695,815
SKU-02663,2025-04-10,728,674,748
SKU-00653,2024-01-28,243,192,319
SKU-01125,2024-07-22,269,206,303
SKU-01972,2023-10-08,110,49,142
SKU-01171,2025-04-08,821,801,838
SKU-02941,2024-07-23,108,43,187
SKU-00727,2025-08-06,960,934,1038
SKU-00340,2024-09-20,438,375,494
SKU-00383,2024-09-02,677,648,684
SKU-01461,2023-10-10,246,162,273
SKU-00837,2025-06-30,377,340,473
SKU-02098,2024-11-02,754,668,834
SKU-01441,2023-04-05,784,686,811
SKU-00830,2023-01-24,52,32,102
SKU-00359,2023-05-19,341,304,356
SKU-00200,2023-12-05,89,0,171
SKU-01884,2024-11-16,766,694,846
SKU-01121,2024-06-04,451,368,512
SKU-00057,2024-04-02,295,263,368
SKU-01848,2025-03-21,426,371,470
SKU-01190,2023-12-05,114,35,175
SKU-01112,2023-01-02,871,776,889
SKU-00958,2023-06-27,814,732,878
SKU-01255,2024-09-11,436,355,492
SKU-00410,2023-10-21,904,877,947
SKU-01021,2025-09-05,892,806,991
SKU-02426,2025-11-10,702,645,715
SKU-01319,2025-03-27,794,737,862
SKU-01127,2023-12-19,152,56,227
SKU-02665,2025-05-08,484,412,506
SKU-01987,2024-10-15,954,905,1005
SKU-02646,2023-10-16,10,0,73
SKU-00716,2023-05-02,195,176,230
SKU-00380,2025-06-29,268,189,339
SKU-02288,2023-07-15,287,251,309
SKU-00893,2023-07-31,659,580,699
SKU-02140,2024-06-01,528,454,579
SKU-02854,2024-04-30,534,501,548
SKU-01976,2024-10-12,899,886,956
SKU-00778,2024-12-30,85,0,177
SKU-02511,2024-05-14,486,467,570
SKU-01447,2023-08-09,479,441,567
SKU-02117,2023-10-03,85,73,121
SKU-02982,2024-04-16,10,0,17
SKU-02846,2024-10-24,193,101,230
SKU-02911,2024-12-10,856,797,943
SKU-00611,2024-07-29,399,378,493
SKU-02889,2025-07-12,605,564,626
SKU-00885,2024-01-14,164,95,191
SKU-01089,2025-08-04,331,305,357
SKU-02756,2025-08-16,428,413,462
SKU-02319,2024-08-23,671,611,729
SKU-01386,2024-07-01,833,755,878
SKU-01261,2024-07-05,160,74,162
SKU-02793,2025-07-17,554,508,597
SKU-02512,2025-05-13,691,633,700
SKU-00799,2023-05-06,835,815,874
SKU-01328,2024-07-09,248,213,332
SKU-02646,2023-11-20,625,617,679
SKU-01732,2023-11-30,880,869,971
SKU-02112,2023-05-10,327,285,332
SKU-00492,2025-04-19,987,966,1015
SKU-02287,2023-01-06,970,884,974
SKU-02526,2025-11-21,851,812,876
SKU-02370,2025-03-17,97,49,134
SKU-00471,2025-10-22,695,664,757
SKU-00338,2025-10-29,268,170,294
SKU-02538,2025-06-15,830,755,910
SKU-00569,2023-03-23,300,242,399
SKU-00655,2024-11-06,911,901,1001
SKU-00628,2023-12-21,951,890,991
SKU-02914,2025-11-10,448,361,538
SKU-02200,2023-02-15,115,26,196
SKU-02722,2025-02-11,457,434,464
SKU-02229,2024-03-31,505,444,526
SKU-01187,2025-05-24,12,0,109
SKU-00675,2023-12-08,692,617,736
SKU-00414,2024-04-29,224,214,246
SKU-00609,2023-03-23,110,72,144
SKU-01722,2025-04-05,373,279,450
SKU-01154,2023-05-16,528,523,607
SKU-02763,2023-05-30,561,520,649
SKU-02901,2025-09-03,504,446,589
SKU-00791,2024-03-28,255,242,287
SKU-01408,2025-11-29,551,506,611
SKU-02025,2023-04-05,426,348,442
SKU-00728,2024-12-21,307,290,370
SKU-02117,2024-05-07,911,814,925
SKU-01192,2024-09-05,554,484,616
SKU-00241,2023-11-09,888,822,949
SKU-01458,2025-10-23,79,38,177
SKU-00513,2025-06-07,690,688,748
SKU-01578,2024-03-20,320,310,348
SKU-00164,2024-11-29,852,767,941
SKU-02415,2024-05-31,443,433,465
SKU-02546,2024-09-09,23,0,66
SKU-02885,2025-03-07,821,745,902
SKU-01789,2023-12-01,941,928,994
SKU-02390,2025-05-08,787,736,882
SKU-02561,2025-08-10,432,382,488
SKU-02524,2024-02-23,13,0,17
SKU-01303,2024-07-01,640,627,690
SKU-02018,2025-07-17,85,5,168
SKU-01922,2024-12-26,756,714,835
SKU-01549,2023-12-03,692,615,759
SKU-01841,2025-04-28,838,774,874
SKU-01713,2024-03-31,382,367,469
SKU-02884,2023-04-19,740,669,791
SKU-00809,2024-01-30,415,397,428
SKU-02609,2025-08-17,899,831,970
SKU-01088,2023-01-06,911,829,978
SKU-00396,2023-01-15,720,710,768
SKU-02369,2024-06-04,157,85,191
SKU-00132,2024-08-27,865,813,904
SKU-02139,2023-12-30,103,59,201
SKU-01698,2024-07-18,710,672,730
SKU-01407,2024-11-07,19,9,26
SKU-01413,2023-05-24,187,177,263
SKU-00734,2025-06-03,800,746,843
SKU-01813,2024-10-06,867,793,952
SKU-01775,2025-10-09,587,526,674
SKU-00344,2024-07-11,270,266,369
SKU-02881,2023-07-16,56,0,74
SKU-02072,2024-08-12,526,503,558
SKU-01510,2024-01-22,147,85,156
SKU-00516,2023-11-27,720,624,731
SKU-02160,2023-03-18,297,207,343
SKU-00171,2025-08-12,109,43,126
SKU-01879,2025-10-21,988,914,1035
SKU-00074,2023-06-09,215,166,232
SKU-00177,2023-06-28,424,391,448
SKU-00172,2023-02-09,14,0,102
SKU-00402,2023-08-01,395,344,421
SKU-01203,2025-02-09,786,778,855
SKU-01625,2025-03-13,140,61,224
SKU-00327,2024-11-01,369,295,414
SKU-00391,2025-09-14,160,94,191
SKU-02179,2024-07-11,627,627,656
SKU-01357,2025-01-06,349,349,432
SKU-00296,2025-07-27,646,573,698
SKU-02381,2025-04-04,894,848,935
SKU-01469,2025-02-13,43,0,109
SKU-02792,2023-12-24,273,202,341
SKU-02466,2024-02-06,444,435,475
SKU-00672,2023-02-04,745,650,759
SKU-01541,2025-06-15,237,155,323
SKU-01230,2024-10-18,303,239,391
SKU-01832,2023-02-17,920,828,937
SKU-02597,2025-09-22,828,806,906
SKU-01141,2025-05-10,843,807,930
SKU-00988,2023-03-08,673,609,760
SKU-01361,2025-09-23,596,585,640
SKU-00746,2025-02-21,454,396,477
SKU-00741,2024-05-22,29,0,69
SKU-01870,2024-09-28,591,588,688
SKU-01738,2023-01-28,698,690,730
SKU-00734,2023-11-05,568,514,593
SKU-00890,2024-02-20,446,364,457
SKU-01935,2023-12-06,686,593,740
SKU-00359,2024-11-19,422,414,513
SKU-00186,2024-08-13,469,423,559
SKU-00133,2025-01-28,885,883,966
SKU-00867,2024-01-06,399,366,469
SKU-01298,2024-09-14,708,661,780
SKU-02326,2025-04-27,968,906,991
SKU-02868,2023-04-11,91,50,185
SKU-00841,2024-09-17,378,320,388
SKU-02179,2024-11-24,873,804,944
SKU-01129,2023-05-20,606,567,674
SKU-02564,2024-12-08,531,492,626
SKU-00030,2025-05-25,913,857,928
SKU-01677,2024-03-19,336,290,336
SKU-01777,2023-11-16,797,777,823
SKU-02999,2023-07-08,675,654,754
SKU-00286,2024-12-08,77,47,100
SKU-02906,2023-07-01,240,204,319
SKU-02407,2024-06-13,536,503,604
SKU-02502,2023-05-15,508,453,556
SKU-00317,2024-02-01,300,275,341
SKU-02813,2023-02-07,167,79,241
SKU-01047,2024-04-16,899,808,971
SKU-00108,2024-01-01,65,50,114
SKU-02405,2023-01-24,861,787,942
SKU-02752,2023-11-25,489,402,489
SKU-00996,2025-04-20,281,272,348
SKU-00903,2025-08-02,458,405,487
SKU-02551,2024-11-13,581,535,594
SKU-00325,2024-11-07,293,205,314
SKU-01803,2024-02-05,594,533,659
SKU-00158,2023-12-13,594,518,661
SKU-00574,2025-05-22,502,425,507
SKU-01544,2024-07-13,970,896,1065
SKU-00047,2025-08-18,54,8,143
SKU-02538,2025-11-23,361,346,373
SKU-01527,2023-12-07,568,509,579
SKU-02184,2024-11-14,445,364,513
SKU-01984,2023-11-09,325,280,423
SKU-01058,2024-10-03,604,510,654
SKU-01803,2025-01-19,141,88,193
SKU-02226,2024-09-15,201,175,239
SKU-00738,2023-07-27,484,475,484
SKU-00647,2023-03-20,857,826,884
SKU-00664,2025-03-13,936,910,1021
SKU-02831,2025-02-12,241,232,317
SKU-02746,2023-09-29,862,780,925
SKU-02639,2024-09-01,940,919,1010
SKU-01357,2025-03-03,945,940,972
SKU-00400,2024-03-29,570,538,648
SKU-02962,2024-02-03,819,811,844
SKU-01017,2023-01-07,291,269,366
SKU-01356,2023-07-03,713,618,750
SKU-00095,2023-10-06,281,189,304
SKU-00028,2024-03-11,521,447,588
SKU-01983,2024-02-05,467,419,520
SKU-02195,2025-02-21,468,443,499
SKU-01909,2023-10-16,58,16,63
SKU-00936,2024-02-07,63,14,126
SKU-00890,2025-05-21,882,822,883
SKU-01323,2025-07-23,337,281,397
SKU-01197,2024-08-29,523,517,554
SKU-02235,2023-05-17,716,638,801
SKU-00711,2025-01-25,131,69,167
SKU-01293,2023-03-21,474,417,544
SKU-00313,2023-11-11,746,660,801
SKU-02810,2024-07-08,904,871,937
SKU-01852,2024-11-14,667,603,738
SKU-02042,2024-09-18,307,244,399
SKU-00958,2025-10-04,458,451,518
SKU-02527,2024-06-05,809,758,893
SKU-02282,2024-11-22,507,482,565
SKU-01980,2023-01-08,457,383,530
SKU-00813,2023-08-15,26,0,97
SKU-00907,2023-03-25,155,79,216
SKU-01672,2024-12-09,126,64,172
SKU-00905,2025-04-16,9,0,62
SKU-01728,2024-10-04,27,15,48
SKU-02823,2024-04-30,615,569,693
SKU-02624,2024-06-05,770,721,808
SKU-01538,2024-05-27,526,456,604
SKU-01358,2023-03-10,430,379,461
SKU-01313,2023-05-01,736,700,826
SKU-02826,2023-11-27,336,250,392
SKU-01932,2025-08-28,756,750,786
SKU-01032,2024-09-23,282,183,361
SKU-02156,2024-08-18,611,520,674
SKU-02077,2024-05-15,86,19,111
SKU-02048,2023-04-20,310,243,380
SKU-00398,2025-09-26,488,401,499
SKU-00735,2023-01-15,283,227,289
SKU-02629,2023-01-01,794,731,855
SKU-02639,2025-02-25,82,0,94
SKU-01589,2024-06-15,73,0,88
SKU-01855,2024-09-24,589,531,651
SKU-01032,2025-06-12,617,562,683
SKU-01590,2024-10-22,362,354,376
SKU-00391,2023-02-21,913,842,915
SKU-00865,2025-03-19,0,0,35
SKU-02339,2023-03-18,321,229,380
SKU-01799,2024-09-23,657,573,677
SKU-01782,2024-10-10,101,84,183
SKU-00280,2023-07-06,560,480,635
SKU-00105,2023-10-22,727,651,752
SKU-02195,2025-04-02,340,257,405
SKU-00287,2025-01-09,973,887,1028
SKU-01370,2024-11-16,608,595,664
SKU-01186,2024-07-23,299,285,382
SKU-02142,2024-06-22,950,948,978
SKU-02768,2023-04-07,743,723,834
SKU-01607,2024-01-25,523,464,556
SKU-01518,2024-09-02,976,932,1033
SKU-02572,2025-04-06,161,136,199
SKU-01792,2025-02-20,24,0,26
SKU-02305,2025-08-20,697,618,738
SKU-02607,2024-09-09,881,836,916
SKU-00528,2025-10-24,571,505,605
SKU-01067,2025-03-19,507,492,578
SKU-02856,2025-01-21,300,214,387
SKU-00356,2024-11-02,94,68,123
SKU-02460,2025-01-17,131,115,210
SKU-02191,2023-11-30,823,807,865
SKU-02913,2024-08-21,152,56,202
SKU-00862,2024-08-01,55,0,76
SKU-02057,2025-04-26,931,864,1002
SKU-00920,2023-10-23,161,156,201
SKU-01503,2024-06-20,609,526,645
SKU-02486,2025-04-24,58,0,136
SKU-01300,2024-12-08,992,927,1000
SKU-00348,2024-09-11,164,108,201
SKU-02336,2025-06-01,165,155,193
SKU-01214,2024-04-24,765,732,804
SKU-00202,2025-02-16,502,499,515
SKU-00981,2025-09-15,300,254,345
SKU-02317,2023-07-08,405,388,497
SKU-00665,2023-01-27,75,0,120
SKU-01023,2023-02-14,194,113,285
SKU-00243,2025-03-03,957,899,1034
SKU-00875,2023-04-17,3,0,70
SKU-01545,2023-02-02,47,12,85
SKU-00751,2023-12-24,647,586,698
SKU-02840,2024-07-05,415,361,448
SKU-00360,2024-08-19,875,793,969
SKU-01123,2025-08-27,836,768,852
SKU-02520,2023-06-26,150,119,226
SKU-00360,2025-02-05,953,896,1014
SKU-02316,2024-12-15,550,511,627
SKU-01886,2023-11-14,77,25,160
SKU-01680,2023-10-31,786,782,808
SKU-01836,2025-08-28,982,889,1049
SKU-00667,2023-08-01,314,270,369
SKU-02876,2023-12-01,568,489,629
SKU-01912,2023-04-25,484,428,500
SKU-02946,2024-12-10,148,73,174
SKU-00567,2023-08-19,650,585,650
SKU-02284,2023-03-25,675,659,691
SKU-01402,2024-04-25,808,716,860
SKU-00145,2024-02-24,935,914,996
SKU-00096,2023-01-16,10,2,28
SKU-00129,2023-12-28,88,73,123
SKU-01580,2024-01-07,439,349,464
SKU-00573,2025-08-24,975,967,992
SKU-01746,2023-11-16,471,454,548
SKU-00681,2025-02-10,23,0,91
SKU-01899,2024-04-13,330,255,366
SKU-00115,2024-08-16,811,800,858
SKU-00503,2025-04-13,749,709,833
SKU-00760,2023-08-30,87,0,129
SKU-01043,2023-11-27,528,451,560
SKU-01493,2025-10-07,489,414,548
SKU-02124,2025-03-02,571,508,590
SKU-01429,2024-01-13,36,0,115
SKU-02030,2023-05-31,633,567,702
SKU-02863,2025-07-03,487,417,574
SKU-00720,2025-04-23,360,299,381
SKU-01447,2024-01-23,657,605,720
SKU-01333,2024-02-07,216,149,263
SKU-02900,2023-02-01,307,242,393
SKU-01269,2025-10-20,7,0,39
SKU-01800,2024-02-22,703,606,796
SKU-02079,2025-02-08,294,251,313
SKU-02275,2023-11-15,847,807,909
SKU-00999,2025-06-19,540,518,572
SKU-02183,2023-10-15,840,744,919
SKU-02701,2024-10-11,902,866,978
SKU-00608,2025-04-03,589,568,679
SKU-00013,2025-01-03,920,877,961
SKU-00984,2024-05-19,420,394,497
SKU-02549,2024-03-29,210,150,273
SKU-02885,2025-11-03,321,294,327
SKU-00385,2023-02-12,786,740,859
SKU-02939,2025-05-24,193,122,268
SKU-01590,2024-05-01,727,689,803
SKU-01248,2025-05-15,969,902,1033
SKU-00889,2025-09-10,945,861,958
SKU-01027,2025-07-16,55,37,129
SKU-01300,2024-08-23,652,614,742
SKU-02989,2024-11-09,356,355,365
SKU-00725,2023-06-25,768,738,832
SKU-00018,2025-11-20,654,571,732
SKU-00693,2024-11-16,436,381,508
SKU-02989,2025-07-06,390,349,412
SKU-02398,2023-08-06,999,969,1011
SKU-00026,2023-12-16,79,13,150
SKU-01054,2023-11-10,6,0,15
SKU-02268,2024-07-17,849,778,862
SKU-02927,2024-01-10,219,168,255
SKU-02000,2025-01-06,190,181,259
SKU-00710,2024-08-07,909,836,912
SKU-02803,2023-04-02,464,454,475
SKU-01106,2025-06-01,278,206,286
SKU-01047,2023-01-08,568,553,580
SKU-01674,2024-10-05,790,749,832
SKU-02010,2023-07-25,279,230,341
SKU-02018,2024-11-27,340,245,373
SKU-02047,2024-05-05,341,259,427
SKU-00313,2023-11-07,217,158,243
SKU-02932,2023-01-12,35,8,57
SKU-02878,2023-10-09,950,889,962
SKU-01346,2025-10-04,924,874,946
SKU-02306,2025-05-01,198,170,293
SKU-02049,2025-04-22,567,556,633
SKU-01623,2023-10-29,80,63,112
SKU-02097,2024-06-08,629,534,668
SKU-02501,2023-03-24,650,564,650
SKU-02615,2024-04-12,356,271,389
SKU-02093,2023-11-26,310,306,388
SKU-00138,2023-11-08,536,465,579
SKU-02442,2023-07-15,552,517,574
SKU-01066,2023-08-02,303,253,400
SKU-01963,2024-09-08,562,482,606
SKU-00952,2023-03-07,7,0,30
SKU-02835,2023-01-06,387,344,485
SKU-01888,2025-09-13,420,383,421
SKU-01758,2024-12-02,968,939,1045
SKU-00403,2025-01-12,356,328,453
SKU-02997,2025-06-16,717,715,717
SKU-00539,2024-09-02,303,269,313
SKU-01862,2024-10-15,13,0,45
SKU-02034,2024-08-17,150,60,204
SKU-00113,2024-11-01,32,0,45
SKU-01315,2024-11-30,114,43,160
SKU-00643,2025-08-19,209,178,216
SKU-02625,2024-05-31,121,68,134
SKU-02451,2025-07-26,937,866,948
SKU-01994,2024-12-29,457,418,539
SKU-00964,2024-05-17,332,260,365
SKU-01671,2025-09-11,109,85,205
SKU-00610,2023-01-23,23,0,25
SKU-00869,2023-09-29,831,772,848
SKU-02416,2024-06-08,375,300,398
SKU-01075,2024-01-28,241,175,249
SKU-00148,2025-08-24,749,723,769
SKU-00914,2023-06-12,919,828,964
SKU-01720,2024-07-17,431,346,465
SKU-02079,2024-12-01,175,153,202
SKU-00877,2025-01-13,245,234,303
SKU-02139,2023-09-10,745,680,840
SKU-02678,2023-12-03,372,345,431
SKU-01546,2024-08-29,834,819,893
SKU-01230,2023-01-03,851,783,913
SKU-00644,2025-08-03,130,39,226
SKU-00814,2025-07-31,740,705,823
SKU-00138,2024-06-11,122,56,216
SKU-00424,2023-01-17,393,318,456
SKU-01462,2024-10-26,985,975,1029
SKU-02362,2023-10-14,100,8,140
SKU-00823,2025-11-27,59,47,141
SKU-02471,2025-10-13,463,455,538
SKU-00555,2024-06-02,745,683,825
SKU-01510,2023-03-21,643,613,659
SKU-00660,2023-07-05,177,155,180
SKU-00434,2023-09-11,612,547,700
SKU-01903,2025-08-26,831,746,923
SKU-01342,2023-11-25,616,598,634
SKU-02230,2024-04-03,928,836,995
SKU-01342,2023-05-19,35,0,64
SKU-00507,2024-10-18,756,709,775
SKU-00207,2023-02-17,568,564,614
SKU-00628,2024-02-21,507,438,599
SKU-00164,2023-09-21,801,743,845
SKU-02667,2024-09-11,457,435,476
SKU-01904,2023-12-25,598,530,608
SKU-00013,2024-03-26,940,897,1003
SKU-02801,2023-10-30,957,887,976
SKU-00953,2023-03-03,16,0,46
SKU-00761,2025-01-10,455,441,475
SKU-01695,2023-09-09,990,957,1036
SKU-01855,2025-09-24,353,301,404
SKU-00919,2023-10-28,64,0,138
SKU-01892,2024-12-10,83,78,153
SKU-01346,2024-02-28,504,478,547
SKU-01346,2023-07-29,99,80,187
SKU-02964,2024-12-11,964,880,1048
SKU-02139,2024-04-23,154,132,161
SKU-01996,2023-08-21,237,236,246
SKU-02404,2024-03-22,269,267,323
SKU-02592,2025-02-15,225,153,323
SKU-02280,2025-10-23,953,930,1044
SKU-02411,2025-09-27,857,784,858
SKU-01077,2024-02-11,606,570,643
SKU-02306,2025-02-07,363,339,405
SKU-02069,2024-10-03,769,766,862
SKU-02897,2024-10-25,108,105,192
SKU-01954,2025-04-01,248,196,327
SKU-01546,2023-12-20,155,109,194
SKU-02019,2024-05-12,21,0,47
SKU-02857,2024-11-23,821,772,919
SKU-02333,2023-05-06,263,247,306
SKU-02146,2025-06-14,754,753,760
SKU-02155,2024-06-21,303,221,330
SKU-02069,2023-12-01,186,134,260
SKU-02497,2023-07-02,597,582,626
SKU-01071,2024-04-13,970,936,982
SKU-02450,2023-10-02,510,488,559
SKU-01914,2024-04-09,886,799,914
SKU-02219,2024-05-14,256,177,341
SKU-00109,2024-05-14,624,560,637
SKU-02624,2023-05-05,965,880,1028
SKU-00057,2025-08-08,469,453,532
SKU-01863,2025-05-11,447,404,544
SKU-01386,2023-11-08,183,171,237
SKU-01061,2025-10-08,961,879,1039
SKU-00915,2023-04-30,632,557,731
SKU-00080,2023-07-15,409,391,461
SKU-00248,2024-11-30,390,363,436
SKU-02034,2024-07-16,636,571,638
SKU-02494,2023-05-10,992,903,1056
SKU-01339,2025-08-26,79,34,165
SKU-01822,2024-01-03,652,601,727
SKU-00590,2025-03-15,287,218,302
SKU-00298,2024-03-08,386,358,395
SKU-00436,2024-06-03,148,110,222
SKU-01636,2025-03-12,414,349,470
SKU-00829,2025-10-15,727,727,800
SKU-00156,2024-02-22,634,558,692
SKU-02901,2023-10-19,582,559,645
SKU-00356,2024-07-17,625,542,668
SKU-01797,2023-11-05,422,361,454
SKU-00769,2025-05-01,886,833,975
SKU-00716,2023-05-30,619,584,628
SKU-01159,2025-09-18,327,293,378
SKU-00582,2025-05-09,500,465,509
SKU-00101,2024-07-04,453,363,532
SKU-00046,2024-02-08,781,737,797
SKU-01108,2024-03-12,339,253,428
SKU-02589,2025-04-23,827,754,879
SKU-00892,2024-12-18,65,17,86
SKU-02755,2023-06-14,717,703,788
SKU-00909,2024-01-10,226,212,236
SKU-02705,2024-02-10,728,656,794
SKU-01363,2023-02-20,110,34,122
SKU-01726,2024-04-17,657,595,714
SKU-01135,2024-08-10,615,546,659
SKU-02960,2025-11-15,135,62,179
SKU-01911,2025-05-15,709,645,751
SKU-00199,2024-01-23,283,273,346
SKU-03000,2023-10-28,840,823,878
SKU-01833,2025-11-22,24,0,31
SKU-00321,2023-06-18,966,933,1039
SKU-00885,2025-11-14,930,837,969
SKU-02843,2025-04-05,783,782,833
SKU-01393,2024-11-20,595,592,687
SKU-01174,2024-09-09,582,501,675
SKU-01743,2023-12-28,273,215,292
SKU-00958,2024-06-11,658,610,723
SKU-02816,2024-07-09,257,179,314
SKU-00303,2023-05-09,348,313,446
SKU-00673,2024-02-11,731,692,795
SKU-02694,2025-09-08,334,317,378
SKU-00598,2023-08-09,694,627,767
SKU-02724,2025-05-14,93,45,183
SKU-00468,2024-03-11,707,609,784
SKU-01947,2023-07-13,775,764,848
SKU-02325,2024-05-20,722,634,755
SKU-02139,2024-12-20,413,393,424
SKU-02940,2024-12-08,409,325,431
SKU-02240,2024-07-31,328,317,395
SKU-00805,2025-02-07,618,570,695
